    -0.940     0.047     0.344     0.075    -1.284    -0.276    -0.240    -0.864    -0.277     0.145 202726 240035
    -0.682    -0.915    -0.285     0.075    -1.284     0.621    -0.959    -0.864    -0.133     0.145 202729 240035
     0.604     1.491     0.973     0.528     1.158     0.621    -0.240    -0.222     0.273     0.145 202742 240035
     0.861     0.529     1.603     0.528     1.541     0.621     0.023     0.876     0.369     0.145 202744 240035
     0.347     0.529     0.344     0.528    -0.161     0.920     1.005     0.876     0.273     0.145 202747 240037
     1.633     0.047     0.344    -2.313    -0.687     1.816    -0.240    -0.864     0.478     0.145 202754 240037
     0.604    -0.915     0.973    -0.417     0.752    -0.874    -0.959     0.234    -0.084     0.145 202766 240037
     1.375     0.047    -0.914     0.075     0.752    -0.874     0.657    -0.222     0.046     0.145 202770 240031
    -0.168     0.047     0.344     0.075     0.314    -0.575    -0.552    -0.864    -0.145     0.145 202773 240031
     1.375     1.010     0.973     1.344     1.158    -0.276     0.254     0.234     0.193     0.145 202780 240031
     0.089     0.529    -0.914     0.528    -0.687     2.115     0.836     0.876     0.409     0.145 202822 240034
    -0.425    -0.915    -0.914    -0.962     0.752    -0.575     0.464     0.234    -0.063     0.145 202823 240034
     0.861    -1.878    -1.543     0.528    -0.161     0.322    -0.959    -0.864     0.022     0.145 202831 240038
     1.375     0.047    -0.914     0.528     1.158     0.023     0.657     0.876     0.266     0.145 202843 240028
    -1.454     1.491     1.603     0.949     1.541    -1.173     0.023     0.587    -0.218     0.145 202859 240030
     0.347     1.010    -0.285     0.949    -0.161     0.322     1.164    -0.222     0.132     0.145 202860 240030
    -0.425     1.010    -0.285    -1.580    -0.161    -0.874    -0.240     0.234    -0.208     0.145 202865 240035
    -0.168    -0.915    -0.285    -0.962    -0.161     0.621     0.023     0.587     0.110     0.145 202874 240030
    -0.425     0.529    -0.285    -2.313    -1.284     1.816     0.464    -0.864     0.260     0.145 202881 240033
    -0.168     0.529     0.344     0.075     0.752     0.023    -0.552    -1.962    -0.006     0.145 202887 240033
    -1.197     1.010     0.344     0.949    -0.687     0.023     1.005    -0.222    -0.122     0.145 202917 240027
     0.604     0.047     1.603    -0.417    -0.687     0.920    -0.552    -0.222     0.179     0.145 202923 240034
    -0.682    -1.397    -0.914     0.075    -0.161    -1.173    -0.959    -0.864    -0.403     0.145 202925 240027
     1.375    -0.434    -0.914    -1.580    -0.161     0.920     0.023     0.587     0.325     0.145 202928 240040
    -0.682     0.047     1.603     0.075    -0.161    -0.575     0.657     0.587    -0.122     0.145 202939 240036
     0.861     1.010     1.603     0.528     0.752     0.920     1.733     1.685     0.477     0.145 202943 240029
    -0.682    -1.397    -2.172    -0.417    -1.284    -0.276    -0.552     0.587    -0.285     0.145 202953 240039
     0.861     0.529    -0.285     0.075     1.158    -1.472    -1.941    -0.864    -0.238     0.145 202966 240028
    -1.197     0.529    -0.914     0.075    -0.161    -0.874    -1.941    -0.864    -0.443     0.145 202983 240027
     0.089     0.047    -0.285    -0.417    -0.161     0.920     1.164     1.120     0.265     0.145 202988 240040
     0.347     1.010    -0.914     0.075    -0.687     1.816     1.164     0.587     0.400     0.145 202994 240038
    -0.425    -1.397    -2.801     0.075    -0.161    -1.173    -0.552    -0.222    -0.373     0.145 202999 240028
     0.861     0.529     0.973     0.949     0.752     0.920     1.599     0.234     0.426     0.145 203007 240034
     0.089    -0.915    -0.914     0.075     0.314    -0.575    -0.552     0.234    -0.126     0.145 203009 240039
     0.347    -0.434    -0.285    -0.962    -0.161    -1.472    -0.552     0.587    -0.280     0.145 203016 240030
    -0.940    -1.878    -0.914    -0.417    -1.991    -0.276     0.254    -0.864    -0.328     0.145 203047 240037
     1.633    -0.915    -0.285    -0.962    -0.687     0.621     1.005     0.587     0.302     0.145 203055 240031
     2.147     1.010     0.344     0.075    -0.161     2.713     1.862     0.234     0.852     0.145 203060 270006
     0.861     0.529    -0.285     0.075     0.314    -0.575     0.254     0.587     0.019     0.145 203064 270005
     0.347    -2.359    -1.543    -2.313    -0.687    -1.173     0.464    -0.864    -0.235     0.145 203073 270004
    -0.940    -0.915    -0.914     0.075     1.158     0.322     0.254    -0.864     0.048     0.145 203077 270004
    -1.454     0.529    -0.285     0.949    -1.284    -0.575    -0.959    -1.962    -0.469     0.145 203088 270005
     0.347    -0.915    -0.285    -0.962     0.752    -0.575     0.023    -0.222    -0.010     0.145 203090 270006
    -0.682    -1.878    -0.285    -1.580    -1.284     0.621     1.862     1.974     0.102     0.145 203095 270006
    -0.168     0.529     2.232    -0.962    -1.284     0.322     0.464    -0.864     0.007     0.145 203099 270004
     0.347    -0.434     0.973    -0.417     0.752     0.920     1.005     1.332     0.378     0.145 203117 270004
     0.604    -0.434     0.344    -1.580     0.314     1.517    -0.240     0.876     0.414     0.145 203132 270005
     0.347    -0.434     0.973     1.344    -0.687     0.322     1.599     1.518     0.147     0.145 203133 270004
    -0.940     0.047    -0.285     0.075    -1.284     0.023    -1.941     0.234    -0.311     0.145 203153 280002
     0.089    -0.434     0.973     0.075    -0.687    -0.575    -0.240    -0.222    -0.167     0.145 203157 280002
     1.118    -2.359    -2.801    -2.313    -1.991    -1.173    -0.959    -0.864    -0.370     0.145 203158 280002
    -0.682    -1.397     0.344     0.075    -0.161    -0.874    -0.552    -0.864    -0.301     0.145 203167 280002
    -1.454    -0.434    -0.285    -0.962    -0.161    -1.173    -1.941    -0.222    -0.494     0.145 203179 290016
     1.118     1.491    -0.914     1.344    -0.687     0.322     0.657     0.587     0.133     0.145 203184 290014
     0.604     1.491     0.973     0.949     0.752    -0.276    -0.240    -0.864     0.046     0.145 203191 290016
    -0.682    -0.915    -0.285    -0.417     0.752     0.023    -0.959    -0.222    -0.061     0.145 203195 290014
     1.890    -0.434     0.344     0.528     0.752    -1.173     0.254     1.120     0.046     0.145 203208 290009
    -1.197     1.491     0.344    -0.962    -1.991     0.621    -0.240    -0.222    -0.150     0.145 203215 290011
     1.375     0.529     0.973     0.949     0.314    -0.276     0.254     0.234     0.127     0.145 203220 290016
    -0.940     0.529    -0.285     0.075    -0.687     0.023     0.464     0.876    -0.107     0.145 203230 290014
    -1.197     1.010     0.973     0.949    -1.991     0.322    -1.941    -1.962    -0.362     0.145 203259 290014
     0.604     0.529    -0.285     0.075    -0.687    -0.874     0.464     0.587    -0.136     0.145 203272 290012
     1.890    -0.434    -0.914    -0.417    -0.161     2.115     1.164     1.974     0.678     0.145 203280 290016
    -0.168    -0.915    -1.543    -1.580    -1.991    -0.276    -0.959    -0.864    -0.307     0.145 203281 290011
     1.118     1.010     1.603     1.344     0.314     0.322     1.164     1.332     0.295     0.145 203286 290011
    -0.168     1.491     0.973     1.344     1.541     0.322     1.460     1.120     0.277     0.145 203300 290011
    -0.682    -1.397     0.973     0.075    -0.161     0.322     1.315     0.234     0.070     0.145 203301 290010
    -0.425     1.010    -0.285     1.344     0.752     0.621     0.836     1.518     0.193     0.145 203308 290010
     0.347    -1.397    -0.285     0.528    -1.991     0.920     1.164     0.587     0.105     0.145 203322 290011
     0.604     0.529    -0.914     0.949     1.158    -0.575     0.464     1.332     0.063     0.145 203323 290013
     0.089     1.010     0.973     0.949     0.752    -0.874     0.254     0.587    -0.072     0.145 203351 290011
    -0.168     0.529     0.344     0.949     0.752     0.621    -0.552     0.234     0.130     0.145 203355 290015
    -1.050    -2.359    -1.543    -0.962     0.314    -0.276     1.315     1.332    -0.052     0.145 203386 290012
    -0.168     0.047     0.344    -0.962     0.314     0.322     0.657     0.876     0.148     0.145 203403 290011
     1.633     0.047    -0.285    -0.962    -1.284     0.920     0.023     1.120     0.266     0.145 203407 290012
    -1.050     0.047     0.973     0.949     0.752    -0.874    -1.941    -0.222    -0.331     0.145 203416 290015
    -0.940    -0.915    -1.543    -0.962     0.752    -1.472    -0.552    -0.222    -0.366     0.145 203423 300024
     0.089    -0.434    -0.914    -0.417    -0.687     1.517     0.836     0.876     0.303     0.145 203428 300046
     0.604     1.010     1.603    -0.962    -1.284     1.517     1.315     1.120     0.392     0.145 203431 300022
    -1.197     1.491    -0.285    -0.962    -0.161    -0.874    -0.959    -0.864    -0.353     0.145 203451 300035
    -0.168     0.529     0.344     0.075     0.752     0.920     0.836     1.120     0.300     0.145 203458 300037
    -0.940     0.047    -0.285     0.075    -0.687    -1.472    -1.941    -0.864    -0.571     0.145 203465 300040
    -1.197    -1.397    -0.285    -2.313    -1.991    -0.575    -0.552    -0.864    -0.413     0.145 203466 300034
     0.347    -0.434    -0.285    -0.417    -0.161     1.517     1.315    -0.222     0.393     0.145 203468 300038
     0.347     1.010     2.232    -2.313     0.752     0.920     0.464     1.120     0.403     0.145 203474 300034
